age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
31, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,48, United-States
58, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,60, United-States
28, Local-gov, 9th,5, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Trinadad&Tobago
51, Local-gov, 9th,5, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States
35, Federal-gov, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, United-States
35, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Mexico
30, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Mexico
63, ?, 9th,5, Married-civ-spouse, ?, Husband, White, Male,5178,0,40, United-States
68, ?, 9th,5, Married-civ-spouse, ?, Husband, White, Male,0,0,2, United-States
67, ?, 9th,5, Married-civ-spouse, ?, Husband, White, Male,0,0,15, United-States
69, ?, 9th,5, Married-civ-spouse, ?, Husband, White, Male,0,0,20, United-States
74, ?, 9th,5, Married-civ-spouse, ?, Husband, White, Male,3471,0,40, United-States
60, ?, 9th,5, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States
66, ?, 9th,5, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States
66, ?, 9th,5, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States
64, ?, 9th,5, Married-civ-spouse, ?, Husband, White, Male,0,0,50, United-States
50, ?, 9th,5, Married-civ-spouse, ?, Husband, White, Male,0,0,50, United-States
45, Private, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,1848,40, United-States
54, Private, 9th,5, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States
51, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States
58, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States
37, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States
59, Private, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States
31, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,43, United-States
33, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,33, Mexico
30, Private, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,37, United-States
38, Private, 9th,5, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,54, Mexico
76, Private, 9th,5, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,13, United-States
35, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,46, United-States
39, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,43, Mexico
31, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,43, United-States
60, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,2228,0,37, United-States
46, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,43, United-States
60, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,49, United-States
63, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,16, United-States
26, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, United-States
39, Private, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,25, United-States
59, Private, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,30, United-States
27, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,32, United-States
26, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States
36, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, Guatemala
69, Private, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,1424,0,35, United-States
62, Private, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,35, United-States
41, Private, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, United-States
60, Private, 9th,5, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
28, Private, 9th,5, Married-civ-spouse, Sales, Husband, White, Male,4508,0,40, United-States
51, Private, 9th,5, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
56, Private, 9th,5, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
38, Private, 9th,5, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
61, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
38, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
30, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
34, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
37, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
42, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico
32, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
29, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
27, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
60, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
49, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
30, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,2580,0,40, United-States
31, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
41, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
25, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico
51, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
61, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
56, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
50, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,2885,0,40, United-States
39, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
49, Private, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States
46, Private, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States
53, Private, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Dominican-Republic
17, Private, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States
56, Private, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States
62, Private, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States
37, Private, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,3137,0,40, United-States
35, Private, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Mexico
59, Private, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States
30, Private, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Mexico
71, Private, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States
43, Private, 9th,5, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico
62, Private, 9th,5, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
55, Private, 9th,5, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States
51, Private, 9th,5, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Mexico
27, Private, 9th,5, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Guatemala
51, Private, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States
29, Private, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States
45, Private, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States
63, Private, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States
37, Private, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States
53, Private, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States
42, Private, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States
42, Private, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States
40, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States
25, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States
58, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States
33, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States
38, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States
52, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States
36, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States
39, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States
61, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
31, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3137,0,40, Mexico
25, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico
20, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
36, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
47, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
25, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico
57, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Puerto-Rico
40, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico
46, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Guatemala
35, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Canada
50, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
59, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
48, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Poland
29, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico
29, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
28, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,42, United-States
48, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,44, United-States
24, Private, 9th,5, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Mexico
26, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States
60, Private, 9th,5, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States
25, Private, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States
49, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, United-States
25, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States
51, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States
55, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States
50, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,48, United-States
34, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States
36, Private, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States
32, Private, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States
53, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States
37, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,3781,0,50, Mexico
37, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States
33, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States
55, Private, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,55, United-States
41, Private, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,55, Outlying-US(Guam-USVI-etc)
37, Private, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States
36, Local-gov, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,25, United-States
76, Local-gov, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,30, United-States
53, Local-gov, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
42, Local-gov, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States
59, Local-gov, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States
57, Local-gov, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States
54, Local-gov, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States
53, Local-gov, 9th,5, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
58, Local-gov, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States
64, State-gov, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
58, State-gov, 9th,5, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States
59, State-gov, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States
39, Federal-gov, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
30, Federal-gov, 9th,5, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States
66, Self-emp-inc, 9th,5, Married-civ-spouse, Exec-managerial, Husband, White, Male,1409,0,1, ?
56, Self-emp-inc, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,99, United-States
76, Self-emp-inc, 9th,5, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
39, Self-emp-inc, 9th,5, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1651,40, Mexico
61, Self-emp-not-inc, 9th,5, Married-civ-spouse, Sales, Husband, White, Male,0,0,58, United-States
66, Self-emp-not-inc, 9th,5, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,25, United-States
40, Self-emp-not-inc, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
37, Self-emp-not-inc, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, United-States
60, Self-emp-not-inc, 9th,5, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,1672,84, United-States
51, Self-emp-not-inc, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, United-States
55, Self-emp-not-inc, 9th,5, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,25, United-States
69, Self-emp-not-inc, 9th,5, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,25, United-States
36, Self-emp-not-inc, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, United-States
35, Self-emp-not-inc, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,2635,0,30, United-States
69, Self-emp-not-inc, 9th,5, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
26, Self-emp-not-inc, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Portugal
43, Self-emp-not-inc, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
39, Self-emp-not-inc, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
38, Self-emp-not-inc, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico
35, Self-emp-not-inc, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
27, Self-emp-not-inc, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
49, Self-emp-not-inc, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Canada
31, Self-emp-not-inc, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
45, Self-emp-not-inc, 9th,5, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States
65, Self-emp-not-inc, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States
35, Self-emp-not-inc, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States
55, Self-emp-not-inc, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States
35, Self-emp-not-inc, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States
31, Self-emp-not-inc, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States
53, Self-emp-not-inc, 9th,5, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,70, United-States
27, Private, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States
45, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, India
45, ?, 9th,5, Separated, ?, Own-child, Black, Male,0,0,40, United-States
42, ?, 9th,5, Never-married, ?, Own-child, Black, Male,0,0,35, United-States
17, ?, 9th,5, Never-married, ?, Own-child, Black, Male,0,0,40, United-States
17, Private, 9th,5, Never-married, Sales, Own-child, Black, Male,0,0,22, United-States
17, Private, 9th,5, Never-married, Other-service, Own-child, Black, Male,0,0,26, United-States
18, Private, 9th,5, Never-married, Other-service, Own-child, Black, Male,0,0,15, United-States
21, Private, 9th,5, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,20, United-States
17, Private, 9th,5, Never-married, Other-service, Own-child, Black, Male,0,0,35, United-States
18, Private, 9th,5, Never-married, Other-service, Own-child, Black, Male,0,0,35, United-States
23, Private, 9th,5, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,36, United-States
17, Private, 9th,5, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States
25, Private, 9th,5, Never-married, Handlers-cleaners, Own-child, Black, Male,2907,0,40, United-States
28, Private, 9th,5, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,24, United-States
17, Private, 9th,5, Never-married, Other-service, Own-child, Black, Female,0,0,40, United-States
24, Private, 9th,5, Never-married, Machine-op-inspct, Own-child, Black, Female,0,0,40, Dominican-Republic
17, Local-gov, 9th,5, Never-married, Other-service, Own-child, Black, Male,0,0,9, United-States
18, Private, 9th,5, Never-married, Sales, Own-child, Other, Female,0,0,32, United-States
20, ?, 9th,5, Never-married, ?, Own-child, White, Male,0,0,40, United-States
24, ?, 9th,5, Never-married, ?, Own-child, White, Male,0,0,40, United-States
21, ?, 9th,5, Never-married, ?, Own-child, White, Male,0,0,42, United-States
38, ?, 9th,5, Never-married, ?, Own-child, White, Female,0,0,12, United-States
24, ?, 9th,5, Never-married, ?, Own-child, White, Female,0,0,20, United-States
17, ?, 9th,5, Never-married, ?, Own-child, White, Female,0,0,25, Mexico
27, ?, 9th,5, Never-married, ?, Own-child, White, Female,0,0,40, United-States
55, ?, 9th,5, Never-married, ?, Own-child, White, Female,0,0,45, United-States
37, Private, 9th,5, Divorced, Craft-repair, Own-child, White, Male,0,0,35, United-States
24, Private, 9th,5, Divorced, Other-service, Own-child, White, Female,0,0,40, United-States
44, Private, 9th,5, Divorced, Other-service, Own-child, White, Female,0,0,50, United-States
39, Private, 9th,5, Separated, Craft-repair, Own-child, White, Male,0,0,35, Mexico
49, Private, 9th,5, Separated, Handlers-cleaners, Own-child, White, Male,0,0,38, United-States
20, Private, 9th,5, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,28, United-States
24, Private, 9th,5, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,12, United-States
18, Private, 9th,5, Never-married, Other-service, Own-child, White, Male,0,0,15, ?
17, Private, 9th,5, Never-married, Handlers-cleaners, Own-child, White, Male,0,1719,15, United-States
17, Private, 9th,5, Never-married, Other-service, Own-child, White, Male,0,0,16, United-States
18, Private, 9th,5, Never-married, Farming-fishing, Own-child, White, Male,0,0,20, United-States
17, Private, 9th,5, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,20, United-States
17, Private, 9th,5, Never-married, Other-service, Own-child, White, Male,1055,0,24, United-States
19, Private, 9th,5, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,25, United-States
21, Private, 9th,5, Never-married, Craft-repair, Own-child, White, Male,0,0,30, El-Salvador
27, Private, 9th,5, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States
22, Private, 9th,5, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States
17, Private, 9th,5, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States
31, Private, 9th,5, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States
27, Private, 9th,5, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States
20, Private, 9th,5, Never-married, Priv-house-serv, Own-child, White, Male,0,0,40, Mexico
21, Private, 9th,5, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States
22, Private, 9th,5, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States
23, Private, 9th,5, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States
18, Private, 9th,5, Never-married, Handlers-cleaners, Own-child, White, Male,594,0,40, United-States
36, Private, 9th,5, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States
58, Private, 9th,5, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, El-Salvador
18, Private, 9th,5, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, Mexico
20, Private, 9th,5, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States
30, Private, 9th,5, Never-married, Craft-repair, Own-child, White, Male,0,0,45, United-States
27, Private, 9th,5, Never-married, Other-service, Own-child, White, Male,0,0,50, Mexico
22, Private, 9th,5, Never-married, Other-service, Own-child, White, Male,0,0,50, United-States
20, Private, 9th,5, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,11, Nicaragua
17, Private, 9th,5, Never-married, Craft-repair, Own-child, White, Female,0,0,16, United-States
17, Private, 9th,5, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States
17, Private, 9th,5, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States
20, Private, 9th,5, Never-married, Sales, Own-child, White, Female,0,0,32, United-States
17, Private, 9th,5, Never-married, Other-service, Own-child, White, Female,0,0,35, United-States
26, Private, 9th,5, Never-married, Other-service, Own-child, White, Female,0,0,38, El-Salvador
20, Private, 9th,5, Never-married, Sales, Own-child, White, Female,0,0,40, United-States
18, Private, 9th,5, Never-married, Sales, Own-child, White, Female,0,0,42, United-States
21, Private, 9th,5, Never-married, Other-service, Own-child, White, Female,0,0,50, Mexico
